feature,mean_shap_importance,std_shap_importance
area_worst,0.07564905353024795,0.03804426547715434
radius_worst,0.06606024018847326,0.03611629252671
concave points_worst,0.06579966589118734,0.034293727919747136
perimeter_worst,0.0648086744334932,0.03466440839704555
concave points_mean,0.051859715452352705,0.02387472311910555
concavity_worst,0.03181470528599101,0.017231578121009988
area_mean,0.023623881357348102,0.01603383653167944
concavity_mean,0.02300699955875468,0.014081833180371976
radius_mean,0.014996958728946942,0.00904677015469671
perimeter_mean,0.006896987862417582,0.005915954031128199
