feature,consensus_score,mean_importance,std_importance
area_worst,3,1.540636344432034,2.0877447335384574
radius_worst,3,1.0650083582340495,1.2624168719700082
concave points_mean,3,0.880393414518517,0.9602215974481064
perimeter_mean,3,0.7274856530703669,1.1836294254151267
perimeter_worst,3,0.5874867879266615,0.471363498719937
radius_mean,3,0.5456315143991776,0.8876188131857978
concave points_worst,3,0.3643622893931419,0.3210911125132572
concavity_worst,3,0.32445788856339536,0.25596075241759914
area_mean,3,0.20155596166929213,0.2864163765682272
concavity_mean,3,0.17653303839862097,0.1615620782185333
