feature,Random Forest_SHAP,Logistic Regression_SHAP,XGBoost_SHAP
area_worst,0.0756490535302479,3.931152079765854,0.6151079
radius_worst,0.0660602401884732,2.483869904513675,0.64509493
concave points_mean,0.0518597154523527,1.9327624881031984,0.65655804
perimeter_mean,0.0068969878624175,2.0935347263486834,0.082025245
perimeter_worst,0.0648086744334932,0.7173372893464917,0.9803144
radius_mean,0.0149969587289469,1.5703481494685856,0.051549435
concave points_worst,0.0657996658911873,0.3232630022882383,0.7040242
concavity_worst,0.031814705285991,0.5066386804041951,0.43492028
area_mean,0.0236238813573481,0.5319541286505284,0.049089875
concavity_mean,0.0230069995587546,0.3450817956371083,0.16151032
